t,E_kin,Emag,E_tot,pct_loss_E_kin,pct_loss_E_tot,ohmic,ohmic_integrated,max_J,max_divB
0.0,0.07042471947663068,0.0032,0.07362471947663067,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0698428746879212,0.003244874237154716,0.07308774892507593,0.826193974265732,0.7293345976349452,3.905353963845224e-05,7.810707927690448e-07,1.263284055481442,1.0873712144878174e-17
0.08,0.06921467878525346,0.003379804072338794,0.07259448285759225,1.7182044889490045,1.3993080399653413,0.00017620958302082238,5.086333245954538e-06,2.877448450849914,2.5484832123941664e-17
0.12,0.0685258484421554,0.0036032035444164175,0.07212905198657181,2.6963132385715682,2.031474619789353,0.000441938714681289,1.7449299199996764e-05,4.848112004065619,3.276180513488082e-17
0.16,0.06777425266832629,0.003902977847606188,0.07167723051593247,3.763546135507012,2.645156374845481,0.0008431700319473858,4.315147413257026e-05,6.9406203132106645,4.599913026171775e-17
0.2,0.06696821885917462,0.004258160984747796,0.07122637984392241,4.908078645031799,3.2575195528853906,0.0013783257158495074,8.758138908850814e-05,9.002420588316276,6.927652658610982e-17
0.24,0.06611753461694818,0.004646753318230786,0.07076428793517897,6.1160128030211975,3.8851510223541608,0.0020601258548152354,0.00015635042050180295,11.084462841613547,7.904702128842881e-17
0.28,0.06522708348555492,0.005050949567788112,0.07027803305334303,7.380414192207763,4.5456015956025775,0.0029117374193433914,0.0002557876859849756,14.850110492838292,1.0486848804910858e-16
0.32,0.06429581932970355,0.005457567748909404,0.06975338707861295,8.702768278631067,5.258196466536658,0.0039438499122838025,0.0003928994326175194,18.762613767209604,1.1309601760485224e-16
0.36,0.06331622363102898,0.0058559404614870435,0.06917216409251603,10.093751027237719,6.0476364674339145,0.00513459358887266,0.0005744683026406485,22.411511428635333,1.2748697932377145e-16
