mask,cells,vol_frac,ohmic_frac,ohmic_in_mask_over_MHDminus_hydro
|J|>=1/2 max,566,0.005118,0.231416,0.3235
|J|>=1/4 max,5338,0.048268,0.743492,1.0392
|J|>=1/8 max,11471,0.103724,0.945821,1.3220
midplane y +/-2,11520,0.104167,0.316640,0.4426
midplane y +/-3,16128,0.145833,0.437304,0.6112
midplane yz +/-3,2352,0.021267,0.189959,0.2655
sheet +/-2 cells,4137,0.037408,0.471601,0.6592
sheet +/-3 cells,6643,0.060068,0.553948,0.7743
int_Ohmic,0.0005790763137918503
int_visc_hydro,0.004072012598429764
int_visc_MHD,0.0039181421128380856
E_drop_hydro,0.004193588369148016
E_drop_MHD,0.004607887260902596
MHD_minus_hydro,0.00041429889175458035
max_vort_hydro,38.48030506716438
max_vort_MHD,34.74905759503218
max_J,22.970609124218452
