mask,cells,vol_frac,ohmic_frac,ohmic_in_mask_over_MHDminus_hydro
|J|>=1/2 max,3734,0.004220,0.221144,0.3089
|J|>=1/4 max,34489,0.038982,0.691899,0.9665
|J|>=1/8 max,86081,0.097296,0.939641,1.3126
midplane y +/-2,46080,0.052083,0.114573,0.1600
midplane y +/-3,64512,0.072917,0.220638,0.3082
midplane yz +/-3,4704,0.005317,0.030845,0.0431
sheet +/-2 cells,15116,0.017085,0.361257,0.5046
sheet +/-3 cells,21741,0.024573,0.405823,0.5669
int_Ohmic,0.0005802100812816026
int_visc_hydro,0.004073760338582395
int_visc_MHD,0.003919949267936554
E_drop_hydro,0.004198410307079917
E_drop_MHD,0.004613759632526471
MHD_minus_hydro,0.000415349325446554
max_vort_hydro,37.71638285089682
max_vort_MHD,34.366620158042245
max_J,24.94811633817377
